track_id,market,total_streams,rank,track_name,artist,genre_harmonized,year,success_score,danceability,energy,valence
4QPEwDdOMhY7rNS05mTyMR,DE,5797500.0,115.72857142857143,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Other,2020,61.99125863179514,0.8170000000000001,0.7809999999999999,0.359
51qNCY0lUymE88LPDUqFXd,UK,75664.0,86.0,enemy,Charli XCX,Pop,2020,61.98348570187973,0.69,0.6609999999999999,0.222
1ioBOq3yEkAGuGfqTNkeK7,UK,464266.0,104.16666666666667,Sin City,"Skepta, Chip, Young Adz",Other,2020,61.976460664417765,0.848,0.726,0.487
2sGF7DBXvL2GjkbG606m1G,UK,8313074.0,106.81818181818181,No Judgement,Niall Horan,Pop,2020,61.96046784550647,0.723,0.726,0.962
0zzVTGyRrWpQu8Fr28NRAv,UK,1164043.0,134.15,OK Not To Be OK,"Marshmello, Demi Lovato",Other,2020,61.94735312865138,0.743,0.8370000000000001,0.263
2MlOUXmcofMackX3bxfSwi,DE,36404909.5,64.91333333333333,Jerusalema (feat. Nomcebo Zikode),Master KG,Electronic,2021,61.94327087992275,0.88,0.483,0.8270000000000001
5T8EDUDqKcs6OSOwEsfqG7,DE,257952.0,119.0,Don't Stop Me Now - Remastered 2011,Queen,Rock,2021,61.94294189531837,0.5589999999999999,0.868,0.609
71d7wCcY5GdDZLfQ3LAzsu,DE,1687566.0,82.35714285714286,Cannabe,Capo,Hip-Hop,2020,61.93960973301701,0.7809999999999999,0.64,0.527
5JWPUEov2wlX7c0jhYZpeB,UK,704942.0,98.8,Lost In Yesterday,Tame Impala,Other,2020,61.93743012473202,0.569,0.84,0.7490000000000001
3tU3UAasaDA9OixXGC3O33,BR,12163581.0,108.78494623655914,Fingindo Maturidade - Ao Vivo,"Mano Walter, Gustavo Mioto",Latin,2020,61.924747927272094,0.5770000000000001,0.919,0.736
7Cpd4UGXnTrloIgZpSs46e,BR,2317295.0,139.4375,Passa Mal - Ao Vivo,Marília Mendonça,Latin,2021,61.9223379183538,0.688,0.91,0.877
3QSLoxRguKgK0knOG7EGyn,UK,64535.0,121.0,TALK ABOUT IT,DaBaby,Hip-Hop,2020,61.9111238383455,0.951,0.638,0.439
6u7gmPOz7pzzaeR9xSBpsR,UK,1407991.0,99.0,my hair,Ariana Grande,Pop,2020,61.910077070387764,0.6859999999999999,0.526,0.3720000000000001
4rxr8pxSf8wblLM3PVZANa,DE,929982.0,104.625,Virus,"Capital Bra, SDP",Hip-Hop,2020,61.90936786617347,0.804,0.63,0.7170000000000001
67JokRnfWFJ93mA5HLIw6q,BR,7775600.0,137.34722222222223,Aquecimento da Lexa,Lexa,Latin,2020,61.90897243573696,0.8390000000000001,0.929,0.809
6ZelF5APDN5r6XnFqcnvWR,DE,684835.0,124.14285714285714,Give No Fxk,"Migos, Travis Scott, Young Thug",Hip-Hop,2020,61.90563837872219,0.904,0.627,0.236
2KyePlnlnRBQbN7J8njyGe,UK,689070.0,92.0,St Tropez,"Skepta, Chip, Young Adz",Other,2020,61.90556864096549,0.822,0.64,0.555
055Mme9ReKK99jRFA5UJ55,DE,165056.0,50.0,Get Out My Head,Shane Codd,Other,2021,61.90378167118904,0.693,0.913,0.795
5yLM9Guje2ZxeCgrKiyJay,DE,2098901.0,88.0,Pablo & Sosa,"Gringo, Summer Cem",Hip-Hop,2020,61.90175596909489,0.757,0.734,0.922
50Td3qilgs8BLtv8mHyT1t,UK,2228187.0,18.419354838709676,Control,Zoe Wees,Pop,2020,61.897425990524724,0.599,0.465,0.0678
4ja2gzrNh9VNigzoXfmbwD,UK,1293786.0,43.333333333333336,Mariposa,Peach Tree Rascals,R&B,2020,61.890228921347784,0.6759999999999999,0.525,0.421
