market,year,genre,genre_harmonized,streams_total,market_share_percent,index_growth_2017_2021,shannon_diversity,success_rate_percent,market_potential_score,growth_momentum_index
DE,2021,Country,Country,84398.0,0.0,11.190474612003527,0.755,0.0,1.68,11.19
DE,2021,Electronic,Electronic,226666733.0,2.61,41.34168043503813,0.755,36.32,18.14,41.34
DE,2021,Hip-Hop,Hip-Hop,398704003.0,4.6,21.895204502190957,0.755,20.95,11.41,21.9
DE,2021,Jazz,Jazz,1237920.0,0.01,756.0186146498761,0.755,20.0,36.0,756.02
DE,2021,Latin,Latin,1438483.0,0.02,0.935200288657515,0.755,0.0,0.15,0.94
DE,2021,Other,Other,7309856109.0,84.33,562.3828366254833,0.755,2.04,64.34,562.38
DE,2021,Pop,Pop,526795494.0,6.08,23.496878699318138,0.755,27.19,14.11,23.5
DE,2021,R&B,R&B,91223738.0,1.05,94.92325412467406,0.755,77.67,37.96,94.92
DE,2021,Rock,Rock,112201688.0,1.29,42.36247418438702,0.755,31.62,16.36,42.36
UK,2021,Country,Country,784557.0,0.01,44.69315210518221,1.042,0.0,6.71,44.69
UK,2021,Electronic,Electronic,115593949.0,1.55,26.051269264896654,1.042,52.67,20.33,26.05
UK,2021,Hip-Hop,Hip-Hop,334181973.0,4.48,31.491314614214122,1.042,47.9,20.89,31.49
UK,2021,Jazz,Jazz,348640.0,0.0,89.06282730537943,1.042,0.0,13.36,89.06
UK,2021,Latin,Latin,12216245.0,0.16,9.01508383819238,1.042,0.0,1.42,9.02
UK,2021,Other,Other,5571798479.0,74.72,340.5400615051652,1.042,2.0,60.49,340.54
UK,2021,Pop,Pop,861860470.0,11.56,22.985043984386976,1.042,33.79,18.21,22.99
UK,2021,R&B,R&B,91379316.0,1.23,36.820735304627966,1.042,71.55,27.48,36.82
UK,2021,Rock,Rock,469022679.0,6.29,140.02754659471952,1.042,15.59,28.2,140.03
